Mois;Qualité;Territoire;Production totale;Consommation totale;Solde exportateur
2013-12;Données définitives;Nouvelle-Aquitaine;3847;0;0
2013-12;Données définitives;Auvergne-Rhône-Alpes;12264;0;0
2013-12;Données définitives;Bourgogne-Franche-Comté;219;0;0
2013-12;Données définitives;Bretagne;306;0;0
2013-12;Données définitives;Centre-Val de Loire;7310;0;
2013-12;Données définitives;France;53564;50108;2653
2013-12;Données définitives;Ile-de-France;568;0;
2013-12;Données définitives;Occitanie;3297;0;
2013-12;Données définitives;Normandie;8105;0;
2013-12;Données définitives;Hauts-de-France;5233;0;
2013-12;Données définitives;PACA;1296;0;
2013-12;Données définitives;Pays-de-la-Loire;798;0;
2014-01;Données consolidées;Grand-Est;10126;4594;5431
2014-01;Données définitives;Nouvelle-Aquitaine;4688;4501;187
2014-01;Données définitives;Auvergne-Rhône-Alpes;13001;6693;5858
2014-01;Données définitives;Bourgogne-Franche-Comté;301;2158;-1857
2014-01;Données définitives;Bretagne;345;2390;-2050
2014-01;Données définitives;Centre-Val de Loire;8353;2034;6318
2014-01;Données définitives;France;55975;49359;5679
2014-01;Données définitives;Ile-de-France;455;7612;-7156
2014-01;Données définitives;Occitanie;3517;3831;-526
2014-01;Données définitives;Normandie;7972;2869;5102
2014-01;Données définitives;Hauts-de-France;5111;5239;-128
2014-01;Données définitives;PACA;1389;4314;-2931
2014-01;Données définitives;Pays-de-la-Loire;563;2875;-2312
2014-02;Données consolidées;Grand-Est;9473;4173;5196
2014-02;Données définitives;Nouvelle-Aquitaine;4762;4184;578
2014-02;Données définitives;Auvergne-Rhône-Alpes;11323;6013;4940
2014-02;Données définitives;Bourgogne-Franche-Comté;238;1940;-1702
2014-02;Données définitives;Bretagne;347;2160;-1816
2014-02;Données définitives;Centre-Val de Loire;7353;1837;5516
2014-02;Données définitives;France;49555;44580;4138
2014-02;Données définitives;Ile-de-France;307;6749;-6442
2014-02;Données définitives;Occitanie;3670;3467;5
2014-02;Données définitives;Normandie;5807;2600;3206
2014-02;Données définitives;Hauts-de-France;4414;4692;-278
2014-02;Données définitives;PACA;1347;3931;-2585
2014-02;Données définitives;Pays-de-la-Loire;366;2618;-2251
2014-03;Données consolidées;Grand-Est;8666;4075;4493
2014-03;Données définitives;Nouvelle-Aquitaine;5161;3993;1168
2014-03;Données définitives;Auvergne-Rhône-Alpes;10828;5965;4504
2014-03;Données définitives;Bourgogne-Franche-Comté;217;1891;-1673
2014-03;Données définitives;Bretagne;264;2084;-1823
2014-03;Données définitives;Centre-Val de Loire;7392;1736;5656
2014-03;Données définitives;France;48290;43104;4354
2014-03;Données définitives;Ile-de-France;406;6509;-6102
2014-03;Données définitives;Occitanie;3984;3306;491
2014-03;Données définitives;Normandie;5183;2532;2651
2014-03;Données définitives;Hauts-de-France;3908;4608;-700
2014-03;Données définitives;PACA;1471;3694;-2227
2014-03;Données définitives;Pays-de-la-Loire;661;2495;-1833
2014-04;Données consolidées;Grand-Est;6509;3523;2888
2014-04;Données définitives;Nouvelle-Aquitaine;4667;3237;1429
2014-04;Données définitives;Auvergne-Rhône-Alpes;9143;5139;3705
2014-04;Données définitives;Bourgogne-Franche-Comté;102;1621;-1518
2014-04;Données définitives;Bretagne;182;1746;-1565
2014-04;Données définitives;Centre-Val de Loire;6551;1486;5065
2014-04;Données définitives;France;40826;36331;3821
2014-04;Données définitives;Ile-de-France;206;5396;-5190
2014-04;Données définitives;Occitanie;3220;2664;461
2014-04;Données définitives;Normandie;5738;2169;3569
2014-04;Données définitives;Hauts-de-France;2436;4025;-1589
2014-04;Données définitives;PACA;1442;3064;-1627
2014-04;Données définitives;Pays-de-la-Loire;494;2099;-1604
2014-05;Données consolidées;Grand-Est;7280;3447;3739
2014-05;Données définitives;Nouvelle-Aquitaine;4222;3100;1122
2014-05;Données définitives;Auvergne-Rhône-Alpes;9448;4858;4208
2014-05;Données définitives;Bourgogne-Franche-Comté;138;1565;-1427
2014-05;Données définitives;Bretagne;201;1567;-1371
2014-05;Données définitives;Centre-Val de Loire;6405;1349;5056
2014-05;Données définitives;France;41872;34695;6255
2014-05;Données définitives;Ile-de-France;179;5279;-5100
2014-05;Données définitives;Occitanie;2500;2526;-263
2014-05;Données définitives;Normandie;6679;2037;4641
2014-05;Données définitives;Hauts-de-France;2940;3955;-1015
2014-05;Données définitives;PACA;1424;2948;-1531
2014-05;Données définitives;Pays-de-la-Loire;338;1920;-1581
2014-06;Données consolidées;Grand-Est;7289;3275;3920
2014-06;Données définitives;Nouvelle-Aquitaine;4574;2930;1644
2014-06;Données définitives;Auvergne-Rhône-Alpes;8705;4621;3801
2014-06;Données définitives;Bourgogne-Franche-Comté;92;1446;-1353
2014-06;Données définitives;Bretagne;168;1428;-1264
2014-06;Données définitives;Centre-Val de Loire;6035;1234;4800
