City,Colors Reported,Shape Reported,State,Time,hour
Claymont,,DISK,DE,6/15/1954 11:45,00:00
Ellington AFB,,DISK,TX,6/15/1954 16:30,00:00
Lorton,,OTHER,VA,6/23/1954 2:00,00:00
Langley Air Force Base,,CIRCLE,VA,6/23/1954 23:00,00:00
Thrifty,,CIRCLE,TX,6/25/1954 3:30,00:00
Marion,,CIRCLE,VA,6/30/1954 0:00,00:00
Methuen,,,MA,6/30/1954 0:00,00:00
Hawthorne,,LIGHT,CA,6/30/1954 12:00,00:00
Pasadena,,CIRCLE,CA,6/30/1954 15:00,00:00
St. Louis Airport,RED,OVAL,MO,7/1/1954 21:00,00:00
Los Angeles,RED,CIRCLE,CA,7/1/1954 22:00,00:00
Walnut Creek,,,CA,7/7/1954 20:00,00:00
West Columbia,,FORMATION,SC,7/7/1954 22:00,00:00
Morroco,,VARIOUS,IN,7/12/1954 17:30,00:00
Philadelphia,,DISK,PA,7/15/1954 11:00,00:00
Greenfield,,CIGAR,IN,7/15/1954 14:00,00:00
Kansas City,,CHEVRON,KS,7/15/1954 21:00,00:00
Oakdale,,DISK,NY,7/15/1954 21:00,00:00
Bridge Hampton,,LIGHT,NY,7/15/1954 22:00,00:00
Farmingdale,,OVAL,NY,8/1/1954 12:00,00:00
Dyer,,TRIANGLE,IN,8/1/1954 17:00,00:00
Canton,,DISK,PA,8/1/1954 21:00,00:00
North Hollywood,,LIGHT,CA,8/1/1954 22:00,00:00
Puyallup,,OVAL,WA,8/15/1954 21:00,00:00
Geneva,,DISK,NY,9/1/1954 13:00,00:00
Beaumont,RED,DISK,TX,9/9/1954 12:30,00:00
Palmer Township,,OTHER,PA,9/15/1954 9:30,00:00
Flatwoods,,CIRCLE,WV,10/1/1954 19:00,00:00
Blanco,,OTHER,TX,10/15/1954 16:30,00:00
Manistee,,CIRCLE,MI,10/15/1954 21:30,00:00
Denver,,FIREBALL,CO,11/1/1954 18:30,00:00
Thelma,,DISK,TX,11/14/1954 1:00,00:00
Red Bank,ORANGE,CIRCLE,NJ,12/15/1954 23:10,00:00
Yucaipa,,OVAL,CA,12/16/1954 16:50,00:00
New York City,,LIGHT,NY,2/15/1955 19:00,00:00
Holbrook,YELLOW,EGG,MA,5/1/1955 15:00,00:00
Warrington,,FIREBALL,FL,5/15/1955 3:00,00:00
Homaland,,CIRCLE,CA,6/1/1955 0:00,00:00
Bagley,,CIRCLE,MN,6/1/1955 2:00,00:00
Cincinnati,,DISK,OH,6/1/1955 15:29,00:00
Martinez,,CIRCLE,CA,6/1/1955 17:00,00:00
Clinton,,EGG,TN,6/1/1955 20:30,00:00
Pensacola,,LIGHT,FL,6/6/1955 1:00,00:00
South St. Paul,,DISK,MN,6/15/1955 0:00,00:00
